domain,route,file,page_role,modules,api,components
casino,/[locale]/casino/[lobbyId],src/app/[locale]/(main)/(casino)/casino/[lobbyId]/page.tsx,metadata/params + module mount,@/modules/casino/home/casino-home,,
casino,/[locale]/casino/game/[gameCode],src/app/[locale]/(main)/(casino)/casino/game/[gameCode]/page.tsx,metadata/params + module mount,@/modules/casino/game/game-detail-page,@/api/handlers/casino,
casino,/[locale]/casino/game/callback,src/app/[locale]/(main)/(casino)/casino/game/callback/page.tsx,thin route / redirect / simple view,,,@/components/loading/loading
casino,/[locale]/casino,src/app/[locale]/(main)/(casino)/casino/page.tsx,thin route / redirect / simple view,,@/api/handlers/casino,
casino,/[locale]/casino/promotions/[slug],src/app/[locale]/(main)/(casino)/casino/promotions/[slug]/page.tsx,thin route / redirect / simple view,,,
casino,/[locale]/casino/promotions,src/app/[locale]/(main)/(casino)/casino/promotions/page.tsx,metadata/params + module mount,@/modules/marketing/promotion/list,,
sports_match,/[locale]/leagues/[tournament_id]/outright,src/app/[locale]/(main)/(sports)/leagues/[tournament_id]/outright/page.tsx,metadata/params + module mount,@/modules/match/outright/outright-content,@/api/handlers/matches,
sports_match,/[locale]/leagues/[tournament_id],src/app/[locale]/(main)/(sports)/leagues/[tournament_id]/page.tsx,metadata/params + module mount,@/modules/match/list/match-list-content,@/api/handlers/matches,
sports_match,/[locale]/matches/[match_id],src/app/[locale]/(main)/(sports)/matches/[match_id]/page.tsx,metadata/params + module mount,@/modules/match/detail,@/api/handlers/match,
sports_match,/[locale]/sports/[sport_id],src/app/[locale]/(main)/(sports)/sports/[sport_id]/page.tsx,metadata/params + module mount,@/modules/match/list,@/api/handlers/matches,
sports_match,/[locale]/sports/live,src/app/[locale]/(main)/(sports)/sports/live/page.tsx,thin route / redirect / simple view,,@/api/models/match,
sports_match,/[locale]/sports,src/app/[locale]/(main)/(sports)/sports/page.tsx,metadata/params + module mount,@/modules/home/home-page,,
sports_match,/[locale]/sports/promotions/[slug],src/app/[locale]/(main)/(sports)/sports/promotions/[slug]/page.tsx,thin route / redirect / simple view,,,
sports_match,/[locale]/sports/promotions,src/app/[locale]/(main)/(sports)/sports/promotions/page.tsx,metadata/params + module mount,@/modules/marketing/promotion/list,,
sports_match,/[locale]/sports/rules,src/app/[locale]/(main)/(sports)/sports/rules/page.tsx,metadata/params + module mount,@/modules/docs/sports-rules/sports-rules-page,,
sports_match,/[locale]/sports-live,src/app/[locale]/(main)/(sports)/sports-live/page.tsx,metadata/params + module mount,@/modules/home/live-page,,
account_user_center,/[locale]/account/affiliate,src/app/[locale]/(main)/account/affiliate/page.tsx,metadata/params + module mount,@/modules/user-center; @/modules/user-center/affiliate/affiliate-faq,,
account_user_center,/[locale]/account/announcements,src/app/[locale]/(main)/account/announcements/page.tsx,metadata/params + module mount,@/modules/user-center; @/modules/user-center/notification/home,,
account_balance,/[locale]/account/deposit,src/app/[locale]/(main)/account/deposit/page.tsx,thin route / redirect / simple view,,,
account_user_center,/[locale]/account/faq,src/app/[locale]/(main)/account/faq/page.tsx,metadata/params + module mount,@/modules/user-center; @/modules/user-center/faq,,
account_user_center,/[locale]/account/gambling-games,src/app/[locale]/(main)/account/gambling-games/page.tsx,metadata/params + module mount,@/modules/user-center; @/modules/user-center/health-setting,,
account_user_center,/[locale]/account/kyc,src/app/[locale]/(main)/account/kyc/page.tsx,thin route / redirect / simple view,,,
account_user_center,/[locale]/account/notifications,src/app/[locale]/(main)/account/notifications/page.tsx,metadata/params + module mount,@/modules/user-center; @/modules/user-center/notification/home,,
account_user_center,/[locale]/account,src/app/[locale]/(main)/account/page.tsx,thin route / redirect / simple view,,,
account_user_center,/[locale]/account/security,src/app/[locale]/(main)/account/security/page.tsx,metadata/params + module mount,@/modules/security-center/security-center; @/modules/user-center,,
account_user_center,/[locale]/account/settings,src/app/[locale]/(main)/account/settings/page.tsx,metadata/params + module mount,@/modules/user-center,,
account_user_center,/[locale]/account/support,src/app/[locale]/(main)/account/support/page.tsx,metadata/params + module mount,@/modules/user-center; @/modules/user-center/support,,
account_user_center,/[locale]/account/transactions,src/app/[locale]/(main)/account/transactions/page.tsx,metadata/params + module mount,@/modules/transaction; @/modules/user-center,,
account_balance,/[locale]/account/withdraw,src/app/[locale]/(main)/account/withdraw/page.tsx,thin route / redirect / simple view,,,
account_user_center,/[locale]/legal/aml-kyc,src/app/[locale]/(main)/legal/aml-kyc/page.tsx,metadata/params + module mount,@/modules/docs/legal/legal-doc-page,,
docs_legal,/[locale]/legal/privacy,src/app/[locale]/(main)/legal/privacy/page.tsx,metadata/params + module mount,@/modules/docs/legal/legal-doc-page,,
docs_legal,/[locale]/legal/responsible-gaming,src/app/[locale]/(main)/legal/responsible-gaming/page.tsx,metadata/params + module mount,@/modules/docs/legal/legal-doc-page,,
docs_legal,/[locale]/legal/terms,src/app/[locale]/(main)/legal/terms/page.tsx,metadata/params + module mount,@/modules/docs/legal/legal-doc-page,,
platform_shell,/[locale],src/app/[locale]/page.tsx,thin route / redirect / simple view,,,
auth,/[locale]/signin,src/app/[locale]/signin/page.tsx,metadata/params + module mount,@/modules/user/auth/h5-signin,,
sports_match,/[locale]/test,src/app/[locale]/test/page.tsx,metadata/params + module mount,@/modules/match-info/basketball/detail/detail; @/modules/match-info/football/detail/detail,,
